id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,city,country,state,zip
6966602,https://www.boattrader.com/listing/2019-crest-i-fish-200-c4-103493962/,power,power-pontoon,Crest,I Fish 200 C4,2019,new,20,8.5,2468,2019-01-23T13:41:30.000Z,aluminum,gasoline,1,60,,,outboard-4s,Marshall,US,TX,75672
6786074,https://www.boattrader.com/listing/2019-nautique-super-air-nautique-g25-103371347/,power,power-skiwake,Nautique,Super Air Nautique G25,2019,new,25,8.5,,2018-07-25T12:43:54.000Z,fiberglass,gasoline,1,450,,,inboard,Cleveland,US,TN,37323
6966011,https://www.boattrader.com/listing/2019-barletta-boats-l23qc-103493525/,power,power-pontoon,Barletta,Boats L23QC,2019,new,23.5,8.42,3133,2019-01-23T09:04:18.000Z,aluminum,gasoline,1,250,,,outboard,Cleveland,US,TN,37323
6968762,https://www.boattrader.com/listing/2019-g3--gator-tough-18-cc--103495901/,power,power-aluminum,G3,Gator Tough 18 CC,2019,new,18,7.25,880,2019-01-25T10:54:47.000Z,aluminum,gasoline,1,0,,,outboard,Kingston,US,OK,73439
6968772,https://www.boattrader.com/listing/2019-g3-gator-tough-18-ccj-103495919/,power,power-jon,G3,Gator Tough 18 CCJ,2019,new,18.08,6.67,830,2019-01-25T10:59:49.000Z,aluminum,gasoline,1,115,,,outboard,Kingston,US,OK,73439
6963981,https://www.boattrader.com/listing/2019-g3-gator-tough-18-cct-103492390/,power,power-jon,G3,Gator Tough 18 CCT,2019,new,18.08,1,,2019-01-21T14:43:48.000Z,aluminum,gasoline,1,90,,,outboard,Kingston,US,OK,73439
6964014,https://www.boattrader.com/listing/2019-g3-gator-tough-20-ccj-103492419/,power,power-jon,G3,Gator Tough 20 CCJ,2019,new,20.17,8.08,1060,2019-01-21T15:12:08.000Z,aluminum,gasoline,1,150,,,outboard,Kingston,US,OK,73439
6963879,https://www.boattrader.com/listing/2019-g3-sportsman-1710-pfx-103492308/,power,power-aluminum,G3,Sportsman 1710 PFX,2019,new,17.83,7.67,1080,2019-01-21T13:31:01.000Z,aluminum,gasoline,1,90,,,outboard,Kingston,US,OK,73439
6961313,https://www.boattrader.com/listing/2019-g3-sportsman-1810-103490691/,power,power-jon,G3,Sportsman 1810,2019,new,18.83,7.67,1190,2019-01-18T09:40:46.000Z,aluminum,gasoline,1,115,,,outboard,Kingston,US,OK,73439
6968830,https://www.boattrader.com/listing/2019-triton-trailers-ltwci-103495960/,power,power-other,Triton Trailers,LTWCI,2019,new,15.25,4.92,,2019-01-25T11:28:37.000Z,other,other,0,,,,,New Bern,US,NC,28560
6968835,https://www.boattrader.com/listing/2019-triton-trailers-ltwcii-103495963/,power,power-other,Triton Trailers,LTWCII,2019,new,15.08,8,,2019-01-25T11:31:02.000Z,other,other,0,,,,,New Bern,US,NC,28560
6808734,https://www.boattrader.com/listing/2006-monterey-290-103388891/,power,power-cruiser,Monterey,290,2006,used,29,10.25,,2018-08-14T15:40:08.000Z,fiberglass,gasoline,2,700,2006,2006,inboard-outboard,Solomons,US,MD,20688
6968903,https://www.boattrader.com/listing/2019-tracker-pro-guide-v-16-wt-103496019/,power,power-aluminum,Tracker,Pro Guide V-16 WT,2019,new,16.5,7.33,1194,2019-01-25T12:18:07.000Z,aluminum,,1,60,,,outboard,New Braunfels,US,TX,78132
6968905,https://www.boattrader.com/listing/2019-sun-tracker-fishin-barge-20-dlx-103496014/,power,power-pontoon,Sun Tracker,"Fishin' Barge 20 DLX",2019,new,21.92,8.5,1700,2019-01-25T12:18:07.000Z,aluminum,,1,60,,,outboard,Prairie Du Chien,US,WI,53821
6968911,https://www.boattrader.com/listing/2019-sun-tracker-fishin-barge-20-dlx-103496031/,power,power-pontoon,Sun Tracker,"Fishin' Barge 20 DLX",2019,new,21.92,8.5,1700,2019-01-25T12:18:08.000Z,aluminum,,1,90,,,outboard,Winchester,US,TN,37398
6968923,https://www.boattrader.com/listing/2019-tahoe-700-103496044/,power,power-bowrider,Tahoe,700,2019,new,21,8.33,3488,2019-01-25T12:18:10.000Z,fiberglass,gasoline,1,250,,,inboard-outboard,Broken Arrow,US,OK,74012
6968953,https://www.boattrader.com/listing/2019-sun-tracker-party-barge-22-dlx-103496071/,power,power-pontoon,Sun Tracker,Party Barge 22 DLX,2019,new,24.17,8.5,1920,2019-01-25T12:18:15.000Z,aluminum,,1,90,,,outboard,Bristol,US,VA,24202
6968955,https://www.boattrader.com/listing/2019-sun-tracker-sportfish-22-xp3-103496070/,power,power-pontoon,Sun Tracker,SportFish 22 XP3,2019,new,24.17,8.5,3250,2019-01-25T12:18:16.000Z,aluminum,,1,200,,,outboard,Prairie Du Chien,US,WI,53821
6968958,https://www.boattrader.com/listing/2019-sun-tracker-fishin-barge-22-xp3-103496068/,power,power-pontoon,Sun Tracker,"Fishin' Barge 22 XP3",2019,new,24.17,8.5,2680,2019-01-25T12:18:16.000Z,aluminum,,1,150,,,outboard,Grapevine,US,TX,76051
6968969,https://www.boattrader.com/listing/2019-sun-tracker-party-barge-22-dlx-103496036/,power,power-pontoon,Sun Tracker,Party Barge 22 DLX,2019,new,24.17,8.5,1920,2019-01-25T12:18:18.000Z,aluminum,,1,150,,,outboard,Alachua,US,FL,32615
