id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,city,country,state
6689830,https://www.boattrader.com/listing/2008-sea-ray-310-sundancer-103302548/,power,power-cruiser,Sea Ray,310 Sundancer,2008,used,31,10,,2018-04-23T07:52:13.000Z,fiberglass,gasoline,1,600,,,other,106995,Ballard ,US,WA
7254847,https://www.boattrader.com/listing/2020-valhalla-boatworks-41-103703100/,power,power-center,Valhalla Boatworks,41,2020,new,41,11.58,13444,2019-10-18T04:28:10.000Z,fiberglass,gasoline,4,1600,,,outboard-4s,,St. Clair Shores,US,MI
6885942,https://www.boattrader.com/listing/2019-sea-ray-sundancer-350-coupe-103443640/,power,power-sportcruiser,Sea Ray,Sundancer 350 Coupe,2019,new,35,11.33,18792,2018-10-23T12:49:01.000Z,fiberglass,gasoline,2,750,,,v-drive,,Miami,US,FL
6812489,https://www.boattrader.com/listing/2019-azimut-atlantis-51-103473513/,power,power-mega,Azimut,Atlantis 51,2019,new,51,,,2018-08-17T12:09:20.000Z,fiberglass,diesel,2,2400,,,inboard,,Sarasota,US,FL
6863395,https://www.boattrader.com/listing/2015-bennington-24slx3de-103427539/,power,power-pontoon,Bennington,24SLX3DE,2015,used,24,8.5,,2018-10-03T10:50:32.000Z,aluminum,gasoline,1,150,2015,2015,outboard-4s,34900,Mattituck,US,NY
7224968,https://www.boattrader.com/listing/2000-cruisers-yachts-3375-103681534/,power,power-cruiser,Cruisers Yachts,3375,2000,used,35.5,11.67,,2019-09-20T10:21:46.000Z,fiberglass,diesel,1,216,,,,29500,Tarpon Springs ,US,FL
7159175,https://www.boattrader.com/listing/2019-lund-219-pro-v-tournament-series-103632328/,power,power-fresh,Lund,219 Pro V Tournament Series,2019,used,22,,,2019-07-26T05:53:13.000Z,fiberglass,gasoline,1,0,,,outboard,66000,Clinton Township,US,MI
7160274,https://www.boattrader.com/listing/1976-pearson-26-pearson-yacht-103633150/,sail,sail-cruiser,Pearson,26 Pearson Yacht,1976,used,26,8.67,,2019-07-26T16:01:08.000Z,fiberglass,gasoline,1,9,,,outboard,6500,Walden,US,TX
7153255,https://www.boattrader.com/listing/2008-mainship-pilot-103628569/,power,power-cruiser,Mainship,Pilot,2008,used,34,12,,2019-07-19T17:02:19.000Z,fiberglass,diesel,1,630,,,,159000,Marco Island,US,FL
7225345,https://www.boattrader.com/listing/2006-champion-187-bass-boat-103681833/,power,power-bass,Champion,187 Bass Boat,2006,used,18.58,7.5,,2019-09-20T14:58:19.000Z,fiberglass,gasoline,1,150,,,outboard,19000,Midlothian,US,TX
7240901,https://www.boattrader.com/listing/1972-seacraft-23-103693956/,power,power-center,SeaCraft,23,1972,used,23,,,2019-10-04T13:52:49.000Z,fiberglass,,0,,,,,19000,Tampa,US,FL
