id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,sellerId,country,state
7163903,https://www.boattrader.com/listing/2014-formula-boats-370-ss-103635961/,power,power-cruiser,Formula Boats,370 SS,2014,used,37,10.09,,2019-07-30T09:12:16.000Z,fiberglass,gasoline,1,0,,,,239900,66930,US,FL
7264774,https://www.boattrader.com/listing/2005-skeeter-zx-225-103710981/,power,power-bass,Skeeter,ZX 225,2005,used,20,8,,2019-10-28T09:19:19.000Z,other,gasoline,1,225,,,outboard,20995,12357,US,VA
7256285,https://www.boattrader.com/listing/2003-bennington-2050-rl-103704922/,power,power-pontoon,Bennington,2050 RL,2003,used,20,,,2019-10-19T09:05:07.000Z,aluminum,gasoline,1,0,,,,12995,31870,US,OH
7235876,https://www.boattrader.com/listing/2013-nitro-z-7-103689975/,power,power-bass,Nitro,Z-7,2013,used,19,7.06,,2019-10-01T08:55:20.000Z,fiberglass,gasoline,1,0,,,outboard,19995,45000,US,TX
7092222,https://www.boattrader.com/listing/2019-wellcraft-302-fisherman-103586974/,power,power-center,Wellcraft,302 Fisherman,2019,new,30,9.67,6700,2019-05-23T11:29:06.000Z,other,gasoline,2,700,,,outboard,225988,10363,US,FL
7136072,https://www.boattrader.com/listing/2019-bennington-s-23sl-103617049/,power,power-pontoon,Bennington,S 23SL,2019,new,23.11,8.06,,2019-07-02T11:36:57.000Z,aluminum,gasoline,1,0,,,outboard,44980,31870,US,OH
7135334,https://www.boattrader.com/listing/2019-ranger-bay-ranger-series-2360-bay-103616284/,power,power-center,Ranger,Bay Ranger Series 2360 Bay,2019,new,23.05,8.03,,2019-07-02T11:24:00.000Z,fiberglass,gasoline,1,0,,,outboard,89959,61782,US,FL
7204469,https://www.boattrader.com/listing/2001-sylvan-200-elite-103667320/,power,power-pontoon,Sylvan,200 Elite,2001,used,20,8.05,,2019-09-04T07:04:40.000Z,aluminum,gasoline,1,0,,,outboard,9495,31870,US,OH
7136108,https://www.boattrader.com/listing/2019-godfrey-sweetwater-2286-models-2286-sb-103617076/,power,power-pontoon,Godfrey,SWEETWATER 2286 MODELS 2286 SB,2019,new,21.1,8.06,1921,2019-07-02T11:36:57.000Z,aluminum,gasoline,1,0,,,outboard,30980,31870,US,OH
7203722,https://www.boattrader.com/listing/2017-triton-186-escape-103666778/,power,power-bass,Triton,186 Escape,2017,used,18,7,,2019-09-03T14:46:49.000Z,fiberglass,gasoline,1,0,,,outboard,29995,45000,US,TX
7203791,https://www.boattrader.com/listing/2018-avalon-pontoons-2385-qf-103666805/,power,power-pontoon,Avalon Pontoons,2385 QF,2018,used,23,8.06,,2019-09-03T14:46:50.000Z,aluminum,gasoline,1,0,,,outboard,32995,45000,US,TX
7204487,https://www.boattrader.com/listing/1997-riviera-rsl2023-103667298/,power,power-pontoon,Riviera,RSL2023,1997,used,20,,,2019-09-04T07:04:42.000Z,aluminum,gasoline,1,0,,,,5995,31870,US,OH
7264169,https://www.boattrader.com/listing/2015-sun-tracker-16fb-bass-buggy-103710640/,power,power-pontoon,Sun Tracker,16FB BASS BUGGY,2015,used,16,8,,2019-10-27T09:08:34.000Z,aluminum,gasoline,1,0,,,outboard,12995,45000,US,TX
7264022,https://www.boattrader.com/listing/2013-sea-doo-rxpx260-103710542/,power,power-pwc,Sea-Doo,RXPX260,2013,used,11,4,,2019-10-26T17:08:45.000Z,fiberglass,gasoline,1,0,,,,8995,45000,US,TX
