id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,city,country,state,zip
7193621,https://www.boattrader.com/listing/2019-g3-sportsman-103658072/,power,power-fresh,G3,Sportsman,2019,new,17,,,2019-08-23T13:28:01.000Z,other,other,1,Kingston,US,OK,73439
7229202,https://www.boattrader.com/listing/2020-alumacraft-pro-103684330/,power,power-fresh,Alumacraft,Pro,2020,new,18,,,2019-09-24T23:22:15.000Z,other,other,1,Kingston,US,OK,73439
7193741,https://www.boattrader.com/listing/2019-manitou-encore-103658233/,power,power-pontoon,Manitou,Encore,2019,new,25,,,2019-08-23T13:28:17.000Z,other,other,1,Kingston,US,OK,73439
7067301,https://www.boattrader.com/listing/2019-alumacraft-edge-103566912/,power,power-fresh,Alumacraft,Edge,2019,used,18,95,,2019-04-30T10:04:17.000Z,other,other,1,Rochester,US,MN,55901
7194118,https://www.boattrader.com/listing/2008-g3-eagle-175-coastal-103658569/,power,power-other,G3,Eagle 175 Coastal,2008,new,17,,,2019-08-23T23:08:08.000Z,other,other,1,Kingston,US,OK,73439
7193629,https://www.boattrader.com/listing/2019-suncatcher-v-series-103658079/,power,power-pontoon,SunCatcher,V Series,2019,new,22,,,2019-08-23T13:28:02.000Z,other,other,1,Kingston,US,OK,73439
7194085,https://www.boattrader.com/listing/2019-seaark-cat-series-103658498/,power,power-fresh,SeaArk,Cat Series,2019,new,20,,,2019-08-23T23:07:50.000Z,other,other,1,Kingston,US,OK,73439
7213640,https://www.boattrader.com/listing/2017-legend-alpha-211-dcx-103673609/,power,power-other,Legend,Alpha 211 Dcx,2017,new,21,,,2019-09-10T23:15:01.000Z,other,other,1,Kingston,US,OK,73439
7194102,https://www.boattrader.com/listing/2002-powerquest-290-enticer-103658512/,power,power-other,Powerquest,290 Enticer,2002,new,29,,,2019-08-23T23:08:00.000Z,other,other,1,Kingston,US,OK,73439
7193689,https://www.boattrader.com/listing/2019-aloha-paradise-series-x-32-103658220/,power,power-pontoon,Aloha,Paradise Series X-32,2019,new,32,,,2019-08-23T13:28:10.000Z,other,other,1,Kingston,US,OK,73439
7193679,https://www.boattrader.com/listing/2019-g3-sportsman-103658166/,power,power-fresh,G3,Sportsman,2019,new,24,,,2019-08-23T13:28:08.000Z,other,other,1,Kingston,US,OK,73439
7193700,https://www.boattrader.com/listing/2019-g3-gator-tough-103658195/,power,power-jon,G3,Gator Tough,2019,new,20,,,2019-08-23T13:28:12.000Z,other,other,1,Kingston,US,OK,73439
7193720,https://www.boattrader.com/listing/2019-manitou-oasis-103658192/,power,power-pontoon,Manitou,Oasis,2019,new,23,,,2019-08-23T13:28:14.000Z,other,other,1,Kingston,US,OK,73439
7193725,https://www.boattrader.com/listing/2019-g3-gator-tough-103658189/,power,power-jon,G3,Gator Tough,2019,new,20,,,2019-08-23T13:28:15.000Z,other,other,1,Kingston,US,OK,73439
7193680,https://www.boattrader.com/listing/2019-g3-gator-tough-103658139/,power,power-jon,G3,Gator Tough,2019,new,17,,,2019-08-23T13:28:08.000Z,other,other,1,Kingston,US,OK,73439
7229201,https://www.boattrader.com/listing/2020-alumacraft-pro-103684333/,power,power-fresh,Alumacraft,Pro,2020,new,18,,,2019-09-24T23:22:15.000Z,other,other,1,Kingston,US,OK,73439
7193737,https://www.boattrader.com/listing/2019-manitou-encore-103658224/,power,power-pontoon,Manitou,Encore,2019,new,25,,,2019-08-23T13:28:16.000Z,other,other,1,Kingston,US,OK,73439
7193687,https://www.boattrader.com/listing/2019-aloha-paradise-series-103658205/,power,power-pontoon,Aloha,PARADISE SERIES,2019,new,30,,,2019-08-23T13:28:10.000Z,other,other,1,Kingston,US,OK,73439
7067370,https://www.boattrader.com/listing/2019-bennington-22ssbxp-103567010/,power,power-pontoon,Bennington,22SSBXP,2019,used,24,102,,2019-04-30T10:05:23.000Z,other,other,1,Rochester,US,MN,55901
7229203,https://www.boattrader.com/listing/2020-alumacraft-pro-103684331/,power,power-fresh,Alumacraft,Pro,2020,new,18,,,2019-09-24T23:22:15.000Z,other,other,1,Kingston,US,OK,73439
7193739,https://www.boattrader.com/listing/2019-manitou-oasis-angler-103658222/,power,power-pontoon,Manitou,Oasis Angler,2019,new,22,,,2019-08-23T13:28:16.000Z,other,other,1,Kingston,US,OK,73439
7193743,https://www.boattrader.com/listing/2019-manitou-oasis-103658231/,power,power-pontoon,Manitou,Oasis,2019,new,23,,,2019-08-23T13:28:17.000Z,other,other,1,Kingston,US,OK,73439
7194136,https://www.boattrader.com/listing/2013-mako-pro-17-skiff-103658547/,power,power-other,Mako,PRO 17 SKIFF,2013,new,17,,,2019-08-23T23:08:21.000Z,other,other,1,Kingston,US,OK,73439
7216612,https://www.boattrader.com/listing/2020-g3-gator-tough-103675542/,power,power-jon,G3,Gator Tough,2020,new,18,,,2019-09-12T23:31:04.000Z,other,other,1,Kingston,US,OK,73439
7067411,https://www.boattrader.com/listing/2019-alumacraft-competitor-103566985/,power,power-fresh,Alumacraft,Competitor,2019,used,18,95,,2019-04-30T10:07:14.000Z,other,other,1,Rochester,US,MN,55901
7193611,https://www.boattrader.com/listing/2019-suncatcher-elite-series-103658094/,power,power-pontoon,SunCatcher,Elite Series,2019,new,26,,,2019-08-23T13:28:00.000Z,other,other,1,Kingston,US,OK,73439
7193656,https://www.boattrader.com/listing/2019-suncatcher-v-series-103658156/,power,power-pontoon,SunCatcher,V Series,2019,new,22,,,2019-08-23T13:28:05.000Z,other,other,1,Kingston,US,OK,73439
7193721,https://www.boattrader.com/listing/2019-manitou-oasis-angler-103658191/,power,power-pontoon,Manitou,Oasis Angler,2019,new,22,,,2019-08-23T13:28:14.000Z,other,other,1,Kingston,US,OK,73439
7067349,https://www.boattrader.com/listing/2019-bennington-22ssrxp-103566933/,power,power-pontoon,Bennington,22SSRXP,2019,used,1,102,,2019-04-30T10:05:16.000Z,other,other,1,Rochester,US,MN,55901
7193751,https://www.boattrader.com/listing/2019-manitou-encore-103658218/,power,power-pontoon,Manitou,Encore,2019,new,25,,,2019-08-23T13:28:18.000Z,other,other,1,Kingston,US,OK,73439
7193669,https://www.boattrader.com/listing/2019-g3-sportsman-103658143/,power,power-fresh,G3,Sportsman,2019,new,17,,,2019-08-23T13:28:06.000Z,other,other,1,Kingston,US,OK,73439
7239586,https://www.boattrader.com/listing/2018-alumacraft-escape-103693037/,power,power-fresh,Alumacraft,Escape,2018,used,15,,,2019-10-03T23:32:12.000Z,other,other,1,Rochester,US,MN,55901
7202658,https://www.boattrader.com/listing/2020-suncatcher-elite-series-103664676/,power,power-pontoon,SunCatcher,Elite Series,2020,new,22,,,2019-09-02T22:58:38.000Z,other,other,1,Kingston,US,OK,73439
